duration,pdays,previous,balance,campaign,job,poutcome,deposit
178,-1,0,1106,5,7,0,0
87,-1,0,0,3,2,3,0
287,-1,0,116,3,7,3,0
402,-1,0,446,2,10,3,0
175,-1,0,3462,3,4,3,0
325,-1,0,472,1,9,3,0
81,-1,0,525,1,7,3,0
105,-1,0,864,5,7,0,0
258,-1,0,655,6,4,3,0
294,-1,0,1363,3,4,3,0
231,-1,0,182,2,7,3,0
164,-1,0,3462,3,4,3,0
27,-1,0,0,6,4,3,0
76,-1,0,-120,4,0,3,0
232,-1,0,2338,1,1,3,0
557,-1,0,60,2,2,3,0
26,-1,0,3103,5,1,3,0
213,-1,0,913,1,1,0,0
171,-1,0,803,2,1,3,0
541,-1,0,0,2,9,3,0
147,-1,0,3,1,4,3,0
407,-1,0,0,1,4,3,0
149,-1,0,272,4,0,3,0
643,-1,0,3462,2,7,3,0
36,-1,0,0,3,1,0,0
118,-1,0,313,5,4,1,0
176,-1,0,1211,1,9,3,0
222,-1,0,321,2,7,0,0
112,-1,0,152,1,1,3,0
136,-1,0,2473,3,1,3,0
303,-1,0,192,5,9,3,0
129,-1,0,216,1,7,3,0
221,-1,0,242,2,4,3,0
98,-1,0,2134,2,4,3,0
313,-1,0,221,1,4,0,0
152,-1,0,654,1,1,3,0
39,-1,0,2110,1,7,3,0
207,-1,0,1090,1,1,3,0
158,-1,0,0,1,10,3,0
39,-1,0,195,1,0,3,0
190,-1,0,576,1,1,3,0
143,-1,0,-7,5,1,3,0
433,-1,0,342,2,4,0,0
634,-1,0,807,4,9,3,0
126,-1,0,1131,1,1,0,0
475,-1,0,634,2,1,3,0
287,-1,0,84,1,0,3,0
168,-1,0,0,4,1,1,0
155,-1,0,80,3,4,3,0
90,-1,0,3462,1,0,3,0
64,-1,0,295,1,7,3,0
175,-1,0,202,1,9,3,0
62,-1,0,933,3,1,3,0
549,-1,0,29,1,4,3,0
455,-1,0,831,3,4,3,0
6,-1,0,-876,6,4,3,0
17,-1,0,13,6,4,1,0
325,-1,0,317,2,3,3,0
86,-1,0,472,4,7,3,0
35,-1,0,90,1,9,3,0
126,-1,0,759,3,10,3,0
200,-1,0,82,1,6,3,0
490,-1,0,1611,2,9,3,0
207,-1,0,24,2,4,3,0
25,-1,0,357,6,9,3,0
240,-1,0,92,1,7,3,0
116,-1,0,3462,5,2,3,0
132,-1,0,3462,1,3,3,0
286,-1,0,1287,1,0,3,0
643,-1,0,-333,1,1,3,0
240,-1,0,443,3,4,3,0
171,-1,0,574,1,4,0,0
198,-1,0,-51,6,1,3,0
199,-1,0,3462,4,8,3,0
171,-1,0,193,2,1,3,0
34,-1,0,-104,6,1,1,0
18,-1,0,0,6,4,3,0
150,-1,0,366,1,1,3,0
201,-1,0,3462,1,4,3,0
248,-1,0,29,2,4,3,0
12,-1,0,79,6,9,3,0
9,-1,0,3462,6,1,3,0
36,-1,0,836,1,8,3,0
134,-1,0,597,1,7,3,0
312,-1,0,1598,1,4,3,0
83,-1,0,29,4,4,1,0
197,-1,0,120,1,0,3,0
25,-1,0,1364,2,9,3,0
143,-1,0,-410,2,9,3,0
249,-1,0,0,5,9,3,0
92,-1,0,171,2,4,3,0
311,-1,0,96,2,7,3,0
226,-1,0,3462,1,9,3,0
250,-1,0,0,2,7,3,0
85,-1,0,1343,1,4,3,0
251,-1,0,222,4,9,3,0
405,-1,0,0,1,4,3,0
89,-1,0,-49,2,7,3,0
180,-1,0,181,1,8,3,0
68,-1,0,1342,1,9,3,0
157,-1,0,1187,1,4,3,0
207,-1,0,877,6,1,3,0
432,-1,0,0,6,1,3,0
149,-1,0,-259,1,4,3,0
126,-1,0,453,2,3,3,0
144,-1,0,1867,1,2,3,0
459,-1,0,514,1,0,3,0
